Id,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,Bedroom,GarageCars,TotRms,GrLivArea,SaleCondition,SalePrice
1,8450,CollgCr,7,5,2003,3,2,8,1710,Normal,208500
2,9600,Veenker,6,8,1976,3,2,6,1262,Normal,181500
3,11250,CollgCr,7,5,2001,3,2,6,1786,Normal,223500
4,9550,Crawfor,7,5,1915,3,3,7,1717,Abnorml,140000
5,14260,NoRidge,8,5,2000,4,3,9,2198,Normal,250000
6,14115,Mitchel,5,5,1993,1,2,5,1362,Normal,143000
7,10084,Somerst,8,5,2004,3,2,7,1694,Normal,307000
8,10382,NWAmes,7,6,1973,3,2,7,2090,Normal,200000
9,6120,OldTown,7,5,1931,2,2,8,1774,Abnorml,129900
10,7420,BrkSide,5,6,1939,2,1,5,1077,Normal,118000
11,11200,Sawyer,5,5,1965,3,1,5,1040,Normal,129500
12,11924,NridgHt,9,5,2005,4,3,11,2324,Partial,345000
13,12968,Sawyer,5,6,1962,2,1,4,912,Normal,144000
14,10652,CollgCr,7,5,2006,3,3,7,1494,Partial,279500
15,10920,NAmes,6,5,1960,2,1,5,1253,Normal,157000
16,6120,BrkSide,7,8,1929,2,2,5,854,Normal,132000
17,11241,NAmes,6,7,1970,2,2,5,1004,Normal,149000
18,10791,Sawyer,4,5,1967,2,2,6,1296,Normal,90000
19,13695,SawyerW,5,5,2004,3,2,6,1114,Normal,159000
20,7560,NAmes,5,6,1958,3,1,6,1339,Abnorml,139000
21,14215,NridgHt,8,5,2005,4,3,9,2376,Partial,325300
22,7449,IDOTRR,7,7,1930,3,1,6,1108,Normal,139400
23,9742,CollgCr,8,5,2002,3,2,7,1795,Normal,230000
24,4224,MeadowV,5,7,1976,3,2,6,1060,Normal,129900
25,8246,Sawyer,5,8,1968,3,1,6,1060,Normal,154000
26,14230,NridgHt,8,5,2007,3,3,7,1600,Normal,256300
27,7200,NAmes,5,7,1951,3,2,5,900,Normal,134800
28,11478,NridgHt,8,5,2007,3,3,7,1704,Normal,306000
29,16321,NAmes,5,6,1957,2,1,6,1600,Normal,207500
30,6324,BrkSide,4,6,1927,1,1,4,520,Normal,68500
31,8500,IDOTRR,4,4,1920,3,1,6,1317,Normal,40000
32,8544,Sawyer,5,6,1966,3,1,6,1228,Normal,149350
33,11049,CollgCr,8,5,2007,3,2,7,1234,Normal,179900
34,10552,NAmes,5,5,1959,4,2,6,1700,Normal,165500
35,7313,NridgHt,9,5,2005,2,2,6,1561,Normal,277500
36,13418,NridgHt,8,5,2004,4,3,9,2452,Normal,309000
37,10859,CollgCr,5,5,1994,3,2,6,1097,Normal,145000
38,8532,NAmes,5,6,1954,3,2,5,1297,Normal,153000
39,7922,NAmes,5,7,1953,3,1,5,1057,Abnorml,109000
40,6040,Edwards,4,5,1955,2,0,6,1152,AdjLand,82000
41,8658,NAmes,6,5,1965,3,2,6,1324,Abnorml,160000
42,16905,Timber,5,6,1959,2,1,5,1328,Normal,170000
43,9180,SawyerW,5,7,1983,2,2,5,884,Normal,144000
44,9200,CollgCr,5,6,1975,3,1,5,938,Normal,130250
45,7945,NAmes,5,6,1959,3,1,6,1150,Normal,141000
